1, Taking my daughter to the cinema for the first time, 'film' is tinkerbell rather than citizen Kane/shawshank redemption, but it's a start!
1, @user It was the best movie since Citizen Kane! #DidNotSeeGreenHornet
1, @user are you kidding? I HATED the classics! with the exception of Citizen Kane, I wish those films never existed!
1,ks me in. Completely rewatchable.
0, Just watched Shudder Island. Makes The Game and Fight Club look like Casablanca and Citizen Kane, respectively.
1, @user CAN'T WAIT! Love the Orsen Welles/Citizen Kane teaser reference in the promo vid!
1, @user I enjoyed the first episode, particularly the homage to the trailer for CITIZEN KANE.
1, Yeah, I guess it wasn't Citizen Kane..But what a clever way to integrate a tribute to opposing player into pregame @user @user
0, @user I'm not surprised- it was hip-hop's Citizen Kane.
0,
0, just watched Citizen Kane for the first time - still not sure what I have been missing all thse years ...
1, Trying to talk this party into playing Citizen Kane tonight simultaneously with the party. #homeworkataparty #jealous?
1, Love the homage to the Citizen Kane trailer in the middle of @user At the Movies. @user
1, Citizen Kane is better and better each time I see it, especially when it's projected instead of on a little TV screen.
1, @user nice Orson Welles star. O just watched Citizen Kane the other day in film class. Have a great show tonight! =) \m/
1, To think, Citizen Kane accomplished more in one minute with deep focus than the millions, tech, man hours to create all of Transformers 2.
1, Casablanca and a lunch comprising of rice and fish: a good sunday
0, How poor is the customer service at Credit Du Maroc? Email for more info: @user #Maroc #Marrakesh #Casablanca
1, view from my hotel room this morning #casablanca link
0, So I made (yet again) the mistake of not booking Casablanca for brunch. Anyone got any tips for Sunday brunch in #Beirut? I want eggs...
1,tter than ending it with a cheesy embrace. Thanks Casablanca.
1, Gonna watch Casablanca :) I love this movie.
0, Casablanca Sucked Anyways.
1, @user See?! Casablanca is a fucking classic! I love that movie!! And I'm afraid to say my favorite movie for fear of redicule...
1, @user so I'll never fault someone for liking any movie since my all time Favorite movie is Casablanca so see not everyones taste
1, Everytime i watch Casablanca, i can't help but feel this connection with Bogart, like we've loved the same woman. #Here'stoLookingatYouKid
1, Casablanca one of my favorite movies
1, Black and white movies are the best.  12 Angry Men, Maltese Falcon, and Casablanca just to name a few.  Really, @user
0, Ex-ISI man Col Imam murdered: The former ISI agent Colonel (r) Imam known as the godfather of the Taliban has be... link
0, I do not want to be in your bloddy mafia family.I get enough requests on facebook now on twitter, I don't care about the friking godfather.
1, @user HAPPY BDAY TO MY DAMN DEAN YP AKA THE GODFATHER LUV U PERS
0, Scarface is one of the most #OVERRATED movies of all time. That shit isn't that good at all. The Godfather is a classic hands down
1, Made a terrible new discovery....Checker's is open until 0300 hrs on Saturday nights.  Willpower = gone with the wind....love those fries!
1, Gone With The Wind In 60 Seconds!
0, Gone with the wind
0, Wish that u already gone with the wind so I'll not cry again.. :(
1, See!!!! U r gone with the wind....that is y I don't like when u went sumwhere.....
0, He doesn't know that I find that amusing because of Carol Burnett/Gone With The Wind but anyway...
0, About to spend two hours of my life watching 'Gone with the Wind'. And surprisingly, I'm okay with that.
1, @user me neither bruh but a nigga gone with the wind and wherever my hat land is my home
1, @user you still need to come over and watch gone with the wind! Its a classic!!
1, Suddenly got an urge 2 watch a fav epic - and there's 'Lawrence of Arabia' on Crackle! If anyone needs me, that's where I'll B. (Not an ad.)
0, Currently watchin history of T.E Lawrence aka Lawrence of Arabia..he also fell victim to Europes manipulation
0, It's piss-ass cold again, so I've been having a movie marathon of things I haven't seen. First was 3:10 to Yuma, now Lawrence of Arabia.
1, Films like Lawrence of Arabia are made rarely. Full of images and quotes that are burned into my mind now.
1, Just watched Lawrence of Arabia for the very first time. Unforgettable. It's almost as if I'm carrying the whole world now. Thorough sadness
1, Lawrence of Arabia very recognizable classic movie long movie but must see
1, However it is entirely possible that The King's Speech will do a Chariots of Fire. Or Lawrence of Arabia and sweep the Oscars.
1, Can't wait for booking my flights to travel round the middle east in may, im going to be filming Lawrence of arabia 2! Soo excited ;-)
0, ARRRGGGGHHHHHH!!!!! I hate doing scary shit.. LOL... need the Wizard of Oz to give me courage... *clicks her black shoes.. with red ribbons*
1, Yes yes I was the lion in the wizard of oz musical
0, @user It rattles my window like crazy. It feels like the house is going to blow away like in The Wizard Of Oz.
1, U can't tell me Dark side of the Moon wasn't scored for Wizard of Oz. Ha! I'm such a stoner
0, WHO DARE UNFOLLOW THE GREAT AND POWERFUL WIZARD OF OZ?!?!!?!?!?!?!?
1, @user Adrienne those shoes you had on with the sparkles were beast!  Reminded me of wizard of oz.  Lol love it!
0, A tale of two govs: What a contrast between Andrew Cuomo and the last attorney general to graduate into the gove... link
0, The more years I spend at Colbert Heights..the more disgusted I get by the people there. I'm soooo ready to graduate.
0,ed a deadline or something for The Graduate. They only delivered 2 songs 4  the whole movie? Budget Cuts?
1, design graduate's creations aim for perfect posture: Shyama Maheshwari, of Usk Road, created the eye-catching pi... link
0, Just finished watching The Graduate. Weird movie.
0, So im gonna graduate and die in the same year... #coolstorybro
1, @user imma give it a try before the semester over...OR before i graduate lol
1, The scenery is as breath-taking as it is here at Waterfront Cottages, that sitting at a computer is often the last thing on your mind! =)
1, Death Before Dishonor, Casey Jones, Capitals and more at the Waterfront tomorrow. Come on down and buy Shook!
1, going  Downtown tonight it will  be amazing  on the waterfront with the snow
1, Awesome Saturday! Indoor winter farmer's market, brunch on the waterfront, stopping at butchery with local sources. I like being a Rhody!
0, @user It was about some folks on the waterfront, I'm trying to find a way to get around some fools w/o using my daisy cutter.
1, @user Yes G Travels is a good afternoon with the kids movie - it is not 'On the Waterfront' but enjoyable - A Mark Kermode review U.
1, @user I'm actually out for a walk on the waterfront! Going to sbux later lol
1, @user ;w; Sunset Blvd is one of the historic streets, following route 66, very long, ending at the beach.
1, ATTENTION%n JAN.29th THE BIGGEST EVENT OF JANUARY
1,lvd. then go home n rest.
0,eirdest stuff ever, including Jesus walking down Sunset Blvd.
1, On Sunset Blvd. at The Comedy Store. Laughing my butt off.
1,nite classic. Go watch it!
1, @user What is that The Bridge on the River Kwai ? LOL
1, The Bridge On The River Kwai. #AFItop100 Heard it's an amazing movie...We'll see.
1, Finally headed home. Been a long three days. Thanks @user cause now I will be humming the theme to Bridge on the River Kwai all the way.
0, The ending of BRIDGE ON THE RIVER KWAI is much creepier than I remember it being. Bleak, sure... But that triumphant music is twisted.
1, The bridge on the river kwai is my shit #oldmoviesrule
0, Err lemsips are disgusting, it's like hot lemonade, ewww could u imagine drinking hot coke, some things are just ment to stay cold!
1,roe is soooo fiiiinne!!! What a night this has been! :)
1, @user lol def Yo- I had soo much fun;; def dropped it like it was hot. Seen some Bol wit fresh #CoolGreys on- #NoBueno -wrongplace
1,dmit that it tastes grea! still a genius :D
1, Some like it hot and some sweat when the heat is on !!
1, @user *jaw drops, like it was hot* :] thanks dude, i'll get papa to pick some up next time he's away.
0, Taking some medicine for my headache and the medicine doesn't taste good at all! It's like bad hot lemonade.
1, I am also watching Some Like it Hot because I love Tony Curtis
0, It is extremely hot in my room tonight for some reason and I do not like it.
1,! (marilyn monroe film) this is the lifeeee ;o)
1, it's so hot. i feel like i can't breatheeeee ! maybe some #Somerhalder or #Bieber will help. off to youtube ! :D
0, @user As far as dogs go, just like regular hot dogs, it depends on the brand...some are over-spiced which can be icky.
1, @user i like that at the afterparty his hair was dry and got some volume and lightened up...it like....took on another hot look
1, shaterra: drop it like its hot ...IN THE NAME OF JESUS!!! me: o_O you need some help...IN THE NAME OF JESUS!! lmao!
0, Sat at the wrong table, listening to @user and @user talk about star wars and star trek....
1, After work today, I might have a Star Wars marathon. Many Bothans died to bring you this information.
0, #star #wars #news George Lucas predicts doom, according to Rogen link
1, star wars sunday
1, Breakfast and Star Wars Holiday Special. It's suppose to be aweful, so I know I'm gonna love it!
1, @user stop watching star wars and come get your daughter! Haha
1, The Star Wars Chewbacca Collectibles is a hot seller in eBay. Get it here. link
0, Every morning I look more and more like the evil emporer from star wars. but without the cool lightning shit out of my hands #starwars
0, @user if it isn't about Star Wars, then it shouldn't exist
1, Photo: ALL ABOUT EVE (1950) edited by Barbara McLean: Perfect example of a simple narrative done right. This... link
1, @user That helps a lot. My suggestions: Caramel, Girl 27, Confessions of a Superhero, La Moustache, Gomorrah, All About Eve, Humpday
1, At least let me tell you how was like watching All About Eve, then I will talk about the other movies, but randomly a.k.a as I please XD
1, Watching all about eve again. I have a weird fascination with this film !
1, all about eve successfuly makes me cry !
1, @user Oh I am so Team Bette (parlance allowing). Mostly because of the gloriousness of All About Eve...
1, Ost. All About Eve - True Love siiip.
1, @user @user Thank you!!! The African Queen is my favorite aside from Casablanca!!! :)
1, @user I love you and you are the best entity that any magazine has ever seen my South African beauty/brain Queen!
1, you are my african queen...the girl of my dreams
1, bout to find me an round the way joint...Queen though. something with a diverse background. Japanese, Brazilian, African. widow, kush, purp!
1, I dedicate the lyrics in My African Queen - 2face to YOU. Yes You.
1, You are my African Queen. The girl of my dreams. #nowplaying Thea's theme song.
1, Photo: The African Queen. Such a good movie!! link
0, Oh god it's set during The African Queen
1, Thanks for the follow @user @user Uganda Allows Drilling African Queen Papyrus Swamp link
0, @user D annoing 1 wit d smelling m***** .hope u don't mean d psycho!!!
0, @user my mum saw it todY and absolutely hated it. But prob because she was expecting a lovely ballet movie than a psycho drama.
1, AND PENELOPE MEETS THE GUY WHO IS GOING TO SHOOT HER. AND THE PSYCHO FEEDS HIS VICTIMS THEIR OWN FINGERS. THIS IS WAY TOO INTENSE.
1, Knives is a fucking psycho, but funny.
0, they dont have a good bathroom to do coke in (watching American Psycho via @user link
0, I'm done with this fuckin bullshit. I hate this. You're the psycho not me.
0, #nw orphan, esther you're an effin psycho
0, Women dominate the bitter broken heart song market. Kelis dominates the bitter broken heart crazy psycho bitch song of the Century.
1, another Psycho-T dunk 1/07/11, just found this ;p link
0, Psycho project is mind-fucking us...
0, Yea she's officially #Psycho
0, @user Idk why they his crew get so psycho when people hate on him, like dude that happens all the time to kids at school -__- wtf
0, @user what's so good about it? It's a copy of American Psycho but with ballerinas and it was super boring instead of intriguing
0, Chinatown is freaking d crowded
1, I am at chinatown...yeah
1, Folks love chinese, we eat chinese! @user Chinatown
1, I engraved my ring for 3bucks at Chinatown!!
1, Tonight, after leaving Chinatown, Stone Cold gave me free chocolate ice cream for my birthday. Cool.
1, Yay I'm at bugis nowwwww. Bye chinatown and all the red red decos.
1, That was the gym, in a ticking boxes kind of way. As the kids intend to do with impending CULTURE moment. really Biding time till Chinatown.
1, Lovely night dinner in Soho's Chinatown followed by a beautiful walk thru the bustle of the streets xx
1, Going Chinatown to squeeze with bf's mum now!
